0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:16 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:25 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:25 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:25 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:58 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:58 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:44:58 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:45:17 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:45:17 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:45:17 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:09 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:09 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:09 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:18 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:18 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:18 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:25 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:25 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:25 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:32 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:32 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:32 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:10:47:50 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
